,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Type
2384,Hyundai Xcent,Coimbatore,2015,65743,Petrol,Manual,First,20.14,1197,81.86,5.0,6,Hyundai
2385,Hyundai i10,Coimbatore,2013,64466,Petrol,Manual,First,19.81,1086,68.05,5.0,3,Hyundai
2386,Maruti Swift,Jaipur,2016,80000,Diesel,Manual,First,23.4,1248,74,5.0,4,Maruti
2387,Hyundai Xcent,Mumbai,2017,69000,Diesel,Manual,First,25.4,1186,73.97,5.0,3,Hyundai
2388,Nissan Sunny,Chennai,2014,79200,Diesel,Manual,First,22.71,1461,84.8,5.0,5,Nissan
2389,Hyundai Creta,Mumbai,2016,29477,Petrol,Manual,First,15.8,1591,121.3,5.0,10,Hyundai
2390,Toyota Fortuner,Delhi,2017,40000,Diesel,Automatic,First,12.9,2755,174.5,7.0,30,Toyota
2391,Maruti Ritz,Pune,2014,25000,Petrol,Manual,Second,18.5,1197,85.80,5.0,3,Maruti
2392,Renault Pulse,Delhi,2014,67668,Diesel,Manual,First,23.08,1461,63.12,5.0,3,Renault
2393,Skoda Fabia,Hyderabad,2010,78000,Petrol,Manual,First,17.5,1198,75,5.0,3,Skoda
2394,Ford EcoSport,Mumbai,2017,30000,Diesel,Manual,First,23.0,1498,98.96,5.0,8,Ford
2395,Volkswagen Vento,Kolkata,2015,70623,Petrol,Manual,First,15.04,1598,103.6,5.0,3,Volkswagen
2396,Nissan Terrano,Mumbai,2015,54000,Diesel,Manual,Second,19.01,1461,108.5,5.0,6,Nissan
2397,Audi Q3,Mumbai,2015,48000,Diesel,Automatic,First,15.73,1968,174.33,5.0,18,Audi
2398,Toyota Innova,Delhi,2012,62000,Diesel,Manual,First,12.99,2494,100,7.0,7,Toyota
2399,Tata Zest,Delhi,2017,47000,Petrol,Manual,Second,17.57,1193,88.7,5.0,4,Tata
2400,Toyota Fortuner,Bangalore,2014,171000,Diesel,Manual,First,11.5,2982,171,7.0,16,Toyota
2401,BMW X3,Pune,2012,108000,Diesel,Automatic,First,16.09,1995,184,5.0,17,BMW
2402,Maruti SX4,Chennai,2016,41000,Diesel,Manual,First,22.7,1598,118,5.0,7,Maruti
2403,Honda City,Pune,2012,66000,Petrol,Manual,Second,17.0,1497,118,5.0,4,Honda
2404,Maruti Swift,Jaipur,2015,144000,Diesel,Manual,First,26.59,1248,74,5.0,5,Maruti
2405,BMW 3,Kochi,2017,23806,Diesel,Automatic,First,22.69,1995,190,5.0,33,BMW
2406,Nissan Micra,Chennai,2013,89000,Petrol,Automatic,Second,19.34,1198,76,5.0,2,Nissan
2407,Maruti Baleno,Coimbatore,2018,38852,Petrol,Automatic,First,21.4,1197,83.1,5.0,8,Maruti
2408,Maruti Ciaz,Coimbatore,2018,68737,Diesel,Manual,First,26.21,1248,88.5,5.0,9,Maruti
2409,Mercedes-Benz CLA,Coimbatore,2017,23106,Diesel,Automatic,First,17.9,2143,136,5.0,27,Mercedes-Benz
2410,Honda Mobilio,Delhi,2015,31250,Diesel,Manual,First,24.5,1498,98.6,7.0,6,Honda
2411,Toyota Innova,Delhi,2014,77795,Diesel,Manual,First,12.99,2494,100.6,8.0,9,Toyota
2412,Jaguar XF,Kochi,2015,47759,Diesel,Automatic,First,14.74,2993,270.9,5.0,31,Jaguar
2413,Toyota Etios,Chennai,2013,67620,Petrol,Manual,Second,17.6,1496,88.8,5.0,4,Toyota
2414,Chevrolet Beat,Kochi,2013,44378,Diesel,Manual,First,25.44,936,57.6,5.0,3,Chevrolet
2415,Honda Accord,Delhi,2012,64709,Petrol,Manual,Second,12.8,2354,177.6,5.0,6,Honda
2416,Maruti Alto,Hyderabad,2007,76161,Petrol,Manual,First,19.7,796,46.3,5.0,1,Maruti
2417,Skoda Octavia,Bangalore,2013,58410,Diesel,Automatic,First,19.3,1968,141,5.0,14,Skoda
2418,Toyota Innova,Delhi,2011,72000,Diesel,Manual,First,12.8,2494,102,7.0,7,Toyota
2419,Audi A4,Chennai,2016,11000,Diesel,Automatic,First,17.11,1968,174.33,5.0,28,Audi
2420,Maruti Vitara,Kochi,2017,45362,Diesel,Manual,First,24.3,1248,88.5,5.0,9,Maruti
2421,Hyundai Grand,Kochi,2016,59767,Petrol,Manual,First,18.9,1197,82,5.0,4,Hyundai
2422,Toyota Corolla,Chennai,2003,70000,Petrol,Manual,Second,13.4,1794,125,5.0,1,Toyota
2423,Tata Hexa,Coimbatore,2019,14233,Diesel,Automatic,First,17.6,2179,153.86,7.0,17,Tata
2424,Hyundai i20,Pune,2010,72000,Petrol,Manual,Second,17.0,1197,80,5.0,2,Hyundai
2425,Hyundai Verna,Mumbai,2014,11000,Petrol,Manual,First,17.01,1591,121.3,5.0,5,Hyundai
2426,Maruti Omni,Mumbai,2011,39000,Petrol,Manual,First,14.0,796,35,5.0,1,Maruti
2427,Maruti Alto,Kochi,2019,19855,Petrol,Manual,First,24.7,796,47.3,5.0,3,Maruti
2428,Mercedes-Benz New,Bangalore,2017,20149,Diesel,Automatic,First,19.27,2143,167.62,5.0,38,Mercedes-Benz
2429,Hyundai i10,Jaipur,2011,70000,Petrol,Manual,First,19.81,1086,68.05,5.0,2,Hyundai
2430,Skoda Superb,Mumbai,2010,62004,Petrol,Automatic,Second,14.67,1798,177.46,5.0,3,Skoda
2431,Volkswagen Vento,Mumbai,2016,25500,Diesel,Automatic,First,21.5,1498,108.5,5.0,8,Volkswagen
2432,Honda Civic,Pune,2010,61700,Petrol,Manual,First,14.8,1799,130.2,5.0,2,Honda
2433,BMW 3,Coimbatore,2010,59660,Petrol,Automatic,First,12.05,1995,154,5.0,10,BMW
2434,Hyundai Santro,Hyderabad,2007,69775,Petrol,Manual,Second,17.92,1086,62.1,5.0,1,Hyundai
2435,Honda Accord,Jaipur,2009,88000,Petrol,Automatic,First,11.1,2354,142,5.0,5,Honda
2436,Maruti Ertiga,Kolkata,2014,47052,Diesel,Manual,First,20.77,1248,88.76,7.0,5,Maruti
2437,Ford Fiesta,Kochi,2015,69749,Diesel,Manual,First,18.6,1388,67,5.0,3,Ford
2438,Audi Q7,Hyderabad,2012,79000,Diesel,Automatic,First,12.07,2967,241.4,7.0,39,Audi
2439,Audi A4,Coimbatore,2016,39644,Diesel,Automatic,First,17.11,1968,174.33,5.0,25,Audi
2440,Tata Indica,Hyderabad,2012,137800,Diesel,Manual,First,22.3,1248,74,5.0,2,Tata
2441,Hyundai Verna,Chennai,2008,120000,Diesel,Manual,Second,18.1,1493,110,5.0,2,Hyundai
2442,Mercedes-Benz E-Class,Mumbai,2018,11000,Diesel,Automatic,First,16.1,1950,194,5.0,56,Mercedes-Benz
2443,BMW 3,Mumbai,2014,18600,Diesel,Automatic,Second,22.69,1995,190,5.0,21,BMW
2444,Hyundai Grand,Ahmedabad,2014,116905,Diesel,Manual,First,24.0,1120,70,5.0,4,Hyundai
2445,Hyundai i10,Coimbatore,2011,32824,Petrol,Automatic,First,16.95,1197,78.9,5.0,3,Hyundai
2446,Maruti Swift,Kochi,2016,19148,Petrol,Manual,First,16.1,1197,85,5.0,5,Maruti
2447,Hyundai Santro,Kolkata,2010,35008,Petrol,Manual,First,17.92,1086,62.1,5.0,1,Hyundai
2448,BMW 6,Delhi,2013,21000,Diesel,Automatic,Second,17.54,2993,313,4.0,44,BMW
2449,Maruti SX4,Mumbai,2014,53000,CNG,Manual,First,22.1,1586,85.7,5.0,3,Maruti
2450,Hyundai Verna,Bangalore,2016,36000,Petrol,Manual,First,17.43,1396,105.5,5.0,8,Hyundai
2451,Maruti Swift,Ahmedabad,2012,56121,Diesel,Manual,First,23.4,1248,74,5.0,4,Maruti
2452,Maruti Swift,Pune,2018,30000,Diesel,Manual,First,28.4,1248,74,5.0,6,Maruti
2453,Skoda Octavia,Kochi,2016,31021,Diesel,Automatic,First,19.5,1968,141,5.0,16,Skoda
2454,Renault Duster,Coimbatore,2013,52600,Diesel,Manual,First,19.6,1461,108.45,5.0,7,Renault
2455,Mahindra Scorpio,Bangalore,2005,60000,Diesel,Manual,First,10.5,2179,120,8.0,4,Mahindra
2456,BMW 5,Ahmedabad,2016,44001,Diesel,Automatic,First,18.12,1995,190,5.0,34,BMW
2457,Maruti Wagon,Chennai,2003,101000,Petrol,Manual,Third,17.3,1061,64,5.0,0,Maruti
2458,Maruti Wagon,Hyderabad,2007,84169,Petrol,Manual,First,14.0,1061,64,5.0,2,Maruti
2459,Hyundai i20,Mumbai,2017,14001,Petrol,Manual,First,18.6,1197,81.83,5.0,5,Hyundai
2460,Land Rover,Delhi,2016,59000,Diesel,Automatic,First,18.0,2993,255,7.0,36,Land
2461,Mercedes-Benz New,Hyderabad,2009,29000,Petrol,Automatic,Second,11.7,1796,178,5.0,10,Mercedes-Benz
2462,Nissan Sunny,Mumbai,2012,38800,Diesel,Manual,First,21.64,1461,84.8,5.0,4,Nissan
2463,Audi Q7,Hyderabad,2011,98000,Diesel,Automatic,First,12.07,2967,241.4,7.0,22,Audi
2464,Mercedes-Benz CLA,Coimbatore,2017,20969,Diesel,Automatic,First,17.9,2143,136,5.0,27,Mercedes-Benz
2465,Maruti Vitara,Kolkata,2018,2900,Diesel,Manual,First,24.3,1248,88.5,5.0,8,Maruti
2466,Maruti Swift,Hyderabad,2016,69000,Diesel,Manual,First,19.3,1248,73.9,5.0,4,Maruti
2467,Skoda Rapid,Coimbatore,2018,5833,Diesel,Manual,First,21.13,1498,108.4,5.0,11,Skoda
2468,Audi Q7,Coimbatore,2016,28733,Diesel,Automatic,Second,12.07,2967,241.4,7.0,53,Audi
2469,Maruti Wagon,Jaipur,2006,145000,Petrol,Manual,First,18.9,998,67.1,5.0,1,Maruti
2470,Honda City,Pune,2014,71000,Diesel,Manual,First,25.1,1498,98.6,5.0,7,Honda
2471,Hyundai EON,Jaipur,2017,12000,Petrol,Manual,First,21.1,814,55.2,5.0,3,Hyundai
2472,Mercedes-Benz E-Class,Kochi,2018,21603,Diesel,Automatic,First,13.0,2987,265,5.0,70,Mercedes-Benz
2473,BMW 3,Hyderabad,2013,58000,Diesel,Automatic,First,13.2,1995,170,5.0,19,BMW
2474,BMW 3,Pune,2012,39000,Petrol,Automatic,Second,12.05,1995,154,5.0,15,BMW
2475,Mahindra NuvoSport,Coimbatore,2017,37712,Diesel,Manual,First,17.45,1493,100,7.0,7,Mahindra
2476,Maruti Ritz,Hyderabad,2012,68000,Petrol,Manual,First,18.5,1197,85.80,5.0,4,Maruti
2477,BMW X6,Chennai,2016,25000,Diesel,Automatic,First,15.87,2993,308.43,5.0,60,BMW
2478,Chevrolet Beat,Kolkata,2010,30000,Petrol,Manual,First,18.6,1199,79.4,5.0,1,Chevrolet
2479,Maruti Swift,Pune,2014,68218,Petrol,Manual,First,19.1,1197,85.8,5.0,4,Maruti
2480,Maruti Ertiga,Delhi,2014,52000,Diesel,Manual,First,20.77,1248,88.8,7.0,5,Maruti
2481,Renault Duster,Coimbatore,2015,63591,Diesel,Manual,First,20.45,1461,83.8,5.0,5,Renault
2482,Honda Amaze,Hyderabad,2014,57937,Petrol,Automatic,First,15.5,1198,86.7,5.0,5,Honda
2483,Audi A4,Coimbatore,2015,21979,Diesel,Automatic,First,17.11,1968,174.33,5.0,23,Audi
2484,Skoda Octavia,Hyderabad,2002,99000,Diesel,Manual,Second,18.7,1896,66,5.0,1,Skoda
2485,Honda Amaze,Pune,2016,62000,Diesel,Manual,First,25.8,1498,98.6,5.0,6,Honda
2486,Toyota Innova,Mumbai,2006,127001,Diesel,Manual,First,12.8,2494,102,8.0,4,Toyota
2487,Hyundai EON,Hyderabad,2013,84600,Petrol,Manual,Second,21.1,814,55.2,5.0,2,Hyundai
2488,Datsun redi-GO,Kochi,2018,30953,Petrol,Manual,First,22.7,799,53.64,5.0,3,Datsun
2489,Maruti Swift,Chennai,2012,78000,Diesel,Manual,First,22.9,1248,74,5.0,4,Maruti
2490,Mitsubishi Pajero,Hyderabad,2008,85000,Diesel,Manual,First,9.5,2835,118.6,6.0,7,Mitsubishi
2491,Volvo S80,Hyderabad,2008,79000,Diesel,Automatic,First,13.1,2400,215,5.0,10,Volvo
2492,Toyota Fortuner,Delhi,2014,79000,Diesel,Automatic,First,12.55,2982,168.5,7.0,18,Toyota
2493,Jeep Compass,Coimbatore,2018,48188,Diesel,Manual,First,16.3,1956,170,5.0,21,Jeep
2494,Maruti Swift,Coimbatore,2014,67557,Diesel,Manual,First,23.4,1248,74,5.0,5,Maruti
2495,Hyundai Verna,Delhi,2011,103814,Diesel,Manual,Second,22.32,1582,126.32,5.0,4,Hyundai
2496,Mahindra Scorpio,Kolkata,2014,45128,Diesel,Manual,First,12.05,2179,120,8.0,6,Mahindra
2497,Hyundai i10,Kochi,2013,56075,Petrol,Manual,First,19.81,1086,68.05,5.0,3,Hyundai
2498,Toyota Innova,Hyderabad,2011,166000,Diesel,Manual,First,12.99,2494,100.6,8.0,8,Toyota
2499,Toyota Innova,Coimbatore,2017,65367,Diesel,Automatic,First,11.36,2755,171.5,7.0,20,Toyota
2500,Toyota Innova,Hyderabad,2013,114708,Diesel,Manual,First,12.99,2494,100,8.0,12,Toyota
2501,Maruti Swift,Kochi,2015,35082,Diesel,Manual,First,23.4,1248,74,5.0,6,Maruti
2502,Hyundai Creta,Kochi,2016,38593,Diesel,Automatic,First,17.01,1582,126.2,5.0,13,Hyundai
2503,Toyota Innova,Mumbai,2008,70700,Diesel,Manual,First,12.99,2494,100,8.0,4,Toyota
2504,Volkswagen Vento,Mumbai,2011,83000,Diesel,Manual,Second,20.54,1598,103.6,5.0,2,Volkswagen
2505,Chevrolet Tavera,Hyderabad,2015,120000,Diesel,Manual,First,14.8,2499,80,10.0,5,Chevrolet
2506,Mahindra Ssangyong,Kochi,2014,91586,Diesel,Automatic,Second,11.18,2696,184,7.0,9,Mahindra
2507,Hyundai i10,Mumbai,2008,38235,Petrol,Manual,First,20.36,1197,78.9,5.0,1,Hyundai
2508,Hyundai i10,Kolkata,2011,37000,Petrol,Manual,First,20.36,1197,78.9,5.0,2,Hyundai
2509,Honda Amaze,Bangalore,2013,44000,Petrol,Manual,Second,18.0,1198,86.7,5.0,4,Honda
2510,Maruti Celerio,Pune,2016,54000,Petrol,Automatic,First,23.1,998,67.04,5.0,4,Maruti
2511,Hyundai Grand,Chennai,2013,90000,Petrol,Manual,First,18.9,1197,82,5.0,3,Hyundai
2512,Maruti Swift,Kolkata,2015,35000,Diesel,Manual,First,19.3,1248,73.9,5.0,4,Maruti
2513,Hyundai i10,Coimbatore,2012,47324,Petrol,Manual,Second,20.36,1197,78.9,5.0,4,Hyundai
2514,BMW X1,Mumbai,2012,65148,Diesel,Automatic,First,15.06,1995,177,5.0,12,BMW
2515,Audi A4,Coimbatore,2014,57773,Diesel,Automatic,Second,17.11,1968,174.33,5.0,20,Audi
2516,Nissan Terrano,Bangalore,2014,87000,Diesel,Manual,First,20.45,1461,83.8,5.0,6,Nissan
2517,Mitsubishi Montero,Chennai,2007,179032,Diesel,Manual,First,11.56,3200,199.3,7.0,7,Mitsubishi
2518,Maruti Wagon,Mumbai,2016,8000,Petrol,Automatic,First,22.5,998,67,5.0,4,Maruti
2519,Honda Civic,Hyderabad,2007,77000,Petrol,Manual,First,13.5,1799,130,5.0,2,Honda
2520,Hyundai i20,Pune,2016,20600,Petrol,Manual,First,18.6,1197,81.83,5.0,5,Hyundai
2521,Maruti Alto,Mumbai,2016,13198,Petrol,Manual,First,24.07,998,67.1,5.0,3,Maruti
2522,Audi Q7,Bangalore,2015,21000,Diesel,Automatic,Second,12.07,2967,241.4,7.0,52,Audi
2523,Hyundai i20,Delhi,2016,38000,Petrol,Manual,First,18.6,1197,81.83,5.0,5,Hyundai
2524,Tata Tiago,Coimbatore,2019,15379,Petrol,Automatic,First,23.84,1199,83.83,5.0,6,Tata
2525,Hyundai i10,Hyderabad,2011,60000,Petrol,Manual,First,20.36,1197,78.9,5.0,3,Hyundai
2526,Renault Duster,Bangalore,2013,75371,Diesel,Manual,First,20.46,1461,83.8,5.0,6,Renault
2527,Tata Xenon,Bangalore,2014,60000,Diesel,Manual,Second,13.49,2179,138.03,5.0,5,Tata
2528,Hyundai i20,Kolkata,2009,30675,Petrol,Manual,First,18.5,1197,80,5.0,2,Hyundai
2529,Maruti Swift,Kolkata,2013,22000,Diesel,Manual,First,23.4,1248,74,5.0,4,Maruti
2530,Hyundai EON,Pune,2015,55000,Petrol,Manual,First,22.0,814,55,5.0,2,Hyundai
2531,Mercedes-Benz New,Jaipur,2010,74213,Diesel,Automatic,First,14.84,2143,170,5.0,11,Mercedes-Benz
2532,Mini Cooper,Mumbai,2016,15000,Petrol,Automatic,First,16.82,1998,189.08,4.0,35,Mini
2533,Tata Nano,Jaipur,2010,57000,Petrol,Manual,First,26.0,624,35,4.0,0,Tata
2534,Maruti Ciaz,Kolkata,2015,62144,Diesel,Manual,Second,26.21,1248,88.5,5.0,5,Maruti
2535,Hyundai Verna,Pune,2017,50000,Diesel,Manual,First,22.0,1582,126.2,5.0,11,Hyundai
2536,Hyundai EON,Jaipur,2015,38000,Petrol,Manual,First,21.1,814,55.2,5.0,2,Hyundai
2537,BMW 5,Chennai,2016,30000,Diesel,Automatic,Second,18.12,1995,190,5.0,31,BMW
2538,Honda Brio,Kochi,2016,38735,Petrol,Manual,First,19.4,1198,86.8,5.0,4,Honda
2539,Maruti Ritz,Pune,2012,23598,Diesel,Manual,First,23.2,1248,73.94,5.0,3,Maruti
2540,BMW 3,Chennai,2014,70000,Diesel,Automatic,First,18.88,1995,184,5.0,17,BMW
2541,Maruti Swift,Pune,2016,39000,Diesel,Manual,First,26.59,1248,74,5.0,5,Maruti
2542,Maruti Swift,Hyderabad,2013,84175,Diesel,Manual,First,23.4,1248,74,5.0,6,Maruti
2543,Renault Scala,Kolkata,2013,45000,Petrol,Manual,First,16.95,1498,97.6,5.0,2,Renault
2544,Chevrolet Cruze,Mumbai,2013,59302,Diesel,Automatic,First,14.39,1998,163.7,5.0,5,Chevrolet
2545,Maruti Swift,Ahmedabad,2012,55002,Petrol,Manual,First,17.5,1298,85.8,5.0,4,Maruti
2546,Tata Indigo,Jaipur,2008,128813,Diesel,Manual,First,19.09,1396,69,5.0,1,Tata
2547,Hyundai Grand,Jaipur,2016,46522,Diesel,Manual,First,24.0,1120,70,5.0,4,Hyundai
2548,Tata Indica,Pune,2014,180000,Diesel,Manual,First,22.3,1248,74,5.0,2,Tata
2549,Ford Fiesta,Chennai,2006,89326,Diesel,Manual,Third,17.8,1399,68,5.0,1,Ford
2550,Renault Duster,Pune,2016,54000,Diesel,Manual,First,19.87,1461,83.8,5.0,6,Renault
2551,Hyundai Grand,Kochi,2015,66337,Diesel,Manual,First,24.0,1120,70,5.0,4,Hyundai
2552,Honda Brio,Bangalore,2012,60000,Petrol,Manual,First,19.4,1198,86.8,5.0,3,Honda
2553,Audi A4,Kolkata,2010,38001,Petrol,Automatic,First,12.3,1781,163.2,5.0,8,Audi
2554,Maruti Alto,Bangalore,2014,73000,Petrol,Manual,Second,24.7,796,47.3,5.0,2,Maruti
2555,Hyundai Verna,Bangalore,2011,61000,Petrol,Manual,Second,16.2,1599,103.2,5.0,3,Hyundai
2556,Maruti Ertiga,Hyderabad,2013,120000,Diesel,Manual,First,20.77,1248,88.8,7.0,7,Maruti
2557,Chevrolet Optra,Kochi,2012,71787,Petrol,Manual,First,12.9,1598,102.5,5.0,3,Chevrolet
2558,Hyundai Creta,Coimbatore,2016,11554,Diesel,Manual,First,19.67,1582,126.2,5.0,14,Hyundai
2559,Volkswagen Vento,Hyderabad,2014,90000,Diesel,Manual,First,20.34,1498,103.2,5.0,6,Volkswagen
2560,Honda City,Kolkata,2014,48104,Petrol,Manual,First,17.4,1497,117.3,5.0,5,Honda
2561,Hyundai Getz,Pune,2005,91000,Petrol,Manual,Third,16.8,1341,83,5.0,0,Hyundai
2562,Hyundai Grand,Coimbatore,2015,33931,Petrol,Automatic,Second,18.9,1197,82,5.0,5,Hyundai
2563,Hyundai Grand,Coimbatore,2019,13916,Petrol,Manual,First,18.9,1197,81.86,5.0,6,Hyundai
2564,Maruti Wagon,Pune,2012,90400,CNG,Manual,First,26.2,998,58.2,5.0,2,Maruti
2565,Hyundai Grand,Jaipur,2015,14000,Petrol,Manual,First,18.9,1197,82,5.0,4,Hyundai
2566,Hyundai i20,Coimbatore,2016,17560,Petrol,Manual,First,18.6,1197,81.83,5.0,7,Hyundai
2567,Renault Duster,Pune,2016,60000,Diesel,Manual,First,19.87,1461,83.8,5.0,8,Renault
2568,Maruti Swift,Hyderabad,2009,88096,Diesel,Manual,Second,19.3,1248,73.9,5.0,3,Maruti
2569,Toyota Innova,Pune,2008,178280,Diesel,Manual,First,12.8,2494,102,8.0,5,Toyota
2570,Tata Nano,Coimbatore,2015,19963,Petrol,Manual,Second,25.4,624,37.5,4.0,1,Tata
2571,Ford Figo,Mumbai,2019,1000,Petrol,Manual,First,18.12,1196,86.8,5.0,6,Ford
2572,Hyundai i20,Jaipur,2017,8000,Petrol,Manual,First,18.6,1197,81.83,5.0,7,Hyundai
2573,Honda BRV,Pune,2016,9200,Petrol,Manual,First,15.4,1497,117.3,7.0,8,Honda
2574,Honda Amaze,Hyderabad,2015,29000,Diesel,Manual,First,27.4,1498,98.6,5.0,5,Honda
2575,Hyundai Creta,Mumbai,2017,27000,Diesel,Manual,First,19.67,1582,126.2,5.0,12,Hyundai
2576,Maruti Baleno,Delhi,2018,22900,Petrol,Manual,First,21.4,1197,83.1,5.0,7,Maruti
2577,Audi Q5,Hyderabad,2014,50000,Diesel,Automatic,First,14.16,1968,174.3,5.0,35,Audi
2578,Honda Amaze,Jaipur,2015,60207,Diesel,Manual,First,25.8,1498,98.6,5.0,5,Honda
2579,BMW X5,Coimbatore,2010,101119,Diesel,Automatic,First,11.0,2993,235,5.0,18,BMW
2580,Ford Figo,Jaipur,2010,42000,Petrol,Manual,First,15.6,1196,70,5.0,2,Ford
2581,Maruti Wagon,Pune,2002,93000,Petrol,Manual,Third,18.9,998,67.1,5.0,1,Maruti
2582,Hyundai i10,Ahmedabad,2012,60000,Petrol,Manual,Second,19.81,1086,68.05,5.0,2,Hyundai
2583,Skoda Rapid,Kochi,2015,66122,Diesel,Automatic,First,21.66,1498,103.52,5.0,5,Skoda
2584,Porsche Panamera,Kolkata,2015,25100,Diesel,Automatic,First,17.85,2967,300,4.0,75,Porsche
2585,Mercedes-Benz CLA,Kochi,2017,24733,Petrol,Automatic,First,15.04,1991,183,5.0,27,Mercedes-Benz
2586,Audi A6,Ahmedabad,2008,41000,Petrol,Automatic,Second,10.4,2773,201,5.0,10,Audi
2587,Maruti Ciaz,Chennai,2015,30000,Petrol,Manual,First,20.73,1373,91.1,5.0,6,Maruti
2588,Ford Ecosport,Kolkata,2013,36000,Diesel,Manual,First,22.7,1498,89.84,5.0,4,Ford
2589,Mahindra Bolero,Hyderabad,2017,40279,Diesel,Manual,First,16.5,1493,70,7.0,8,Mahindra
2590,Maruti Alto,Kochi,2018,46805,Petrol,Manual,First,24.07,998,67.1,5.0,3,Maruti
2591,Maruti Swift,Mumbai,2015,60000,Petrol,Manual,First,17.5,1197,85.8,5.0,4,Maruti
2592,Tata Zest,Mumbai,2017,100000,Petrol,Manual,First,17.57,1193,88.7,5.0,4,Tata
2593,Ford Endeavour,Coimbatore,2018,51530,Diesel,Automatic,First,10.91,3198,197.2,7.0,30,Ford
2594,Mercedes-Benz New,Jaipur,2013,81456,Diesel,Manual,First,15.8,2148,170,5.0,14,Mercedes-Benz
2595,Hyundai i10,Ahmedabad,2012,37229,Petrol,Automatic,First,16.95,1197,78.9,5.0,3,Hyundai
2596,Honda City,Delhi,2009,73200,Petrol,Manual,First,17.0,1497,118,5.0,2,Honda
2597,Skoda Octavia,Ahmedabad,2015,71826,Diesel,Automatic,First,19.3,1968,141,5.0,15,Skoda
2598,Tata Indica,Chennai,2017,129000,Diesel,Manual,First,25.0,1396,69,5.0,3,Tata
2599,Maruti Wagon,Pune,2012,82000,Petrol,Manual,First,18.9,998,67.1,5.0,2,Maruti
2600,Hyundai Creta,Kochi,2017,40459,Diesel,Manual,First,19.67,1582,126.2,5.0,13,Hyundai
2601,Maruti A-Star,Hyderabad,2009,61964,Petrol,Manual,First,19.0,998,66.1,5.0,2,Maruti
2602,Maruti Wagon,Kochi,2011,15466,Petrol,Manual,First,22.5,998,67.04,5.0,3,Maruti
2603,Honda Mobilio,Kolkata,2014,23000,Petrol,Manual,First,17.3,1497,117.3,7.0,4,Honda
2604,Hyundai i10,Coimbatore,2012,43766,Petrol,Manual,First,20.36,1197,78.9,5.0,4,Hyundai
2605,Skoda Superb,Hyderabad,2010,54000,Petrol,Automatic,First,0.0,3597,262.6,5.0,6,Skoda
2606,Hyundai i20,Coimbatore,2018,18521,Diesel,Manual,First,22.54,1396,88.73,5.0,9,Hyundai
2607,Maruti Celerio,Hyderabad,2017,26400,Petrol,Manual,First,23.1,998,67.04,5.0,4,Maruti
2608,Skoda Laura,Pune,2011,31900,Petrol,Manual,First,13.4,1798,157.8,5.0,3,Skoda
2609,Ford Figo,Chennai,2010,39000,Diesel,Manual,First,20.0,1399,68,5.0,2,Ford
2610,Honda Jazz,Hyderabad,2016,45671,Diesel,Manual,First,27.3,1498,98.6,5.0,7,Honda
2611,Mercedes-Benz E-Class,Ahmedabad,2016,39500,Diesel,Automatic,First,15.0,2143,204,5.0,29,Mercedes-Benz
2612,Mercedes-Benz GLA,Chennai,2015,54000,Diesel,Automatic,First,17.9,2143,136,5.0,17,Mercedes-Benz
2613,Volvo S60,Chennai,2012,20000,Diesel,Automatic,First,18.5,1985,163,5.0,12,Volvo
2614,Audi A8,Bangalore,2009,55000,Diesel,Automatic,First,11.8,2967,246.7,5.0,13,Audi
2615,Hyundai Verna,Kolkata,2014,48000,Diesel,Automatic,First,22.32,1582,126.32,5.0,5,Hyundai
2616,BMW 3,Kolkata,2011,70000,Diesel,Automatic,First,22.69,1995,190,5.0,10,BMW
2617,Hyundai Verna,Delhi,2014,62000,Diesel,Manual,First,22.32,1582,126.32,5.0,5,Hyundai
2618,Maruti Wagon,Kochi,2014,41994,Petrol,Manual,First,22.5,998,67.04,5.0,3,Maruti
2619,Ford Figo,Hyderabad,2010,108882,Diesel,Manual,Second,20.0,1399,68,5.0,2,Ford
2620,Mahindra KUV,Coimbatore,2017,24806,Petrol,Manual,First,18.15,1198,82,6.0,5,Mahindra
2621,Tata Indigo,Pune,2006,160000,Diesel,Manual,First,17.0,1405,70,5.0,1,Tata
2622,Mahindra TUV,Hyderabad,2017,30000,Diesel,Automatic,First,18.49,1493,100,7.0,8,Mahindra
2623,Audi Q3,Bangalore,2015,51000,Diesel,Automatic,First,15.17,1968,181,5.0,27,Audi
2624,Maruti Wagon,Jaipur,2015,64876,Petrol,Manual,First,21.5,1197,81.80,5.0,3,Maruti
2625,Maruti Celerio,Kochi,2016,70536,CNG,Manual,First,31.79,998,58.33,5.0,4,Maruti
2626,Maruti Vitara,Coimbatore,2017,25299,Diesel,Manual,First,24.3,1248,88.5,5.0,10,Maruti
2627,Mahindra Scorpio,Mumbai,2006,89869,Diesel,Manual,First,12.7,2609,116.6,8.0,3,Mahindra
2628,Hyundai Tucson,Jaipur,2007,103515,Diesel,Manual,Third,12.6,1991,112,7.0,5,Hyundai
2629,Hyundai Santro,Hyderabad,2008,68282,Petrol,Manual,First,17.92,1086,62.1,5.0,2,Hyundai
2630,Porsche Panamera,Kochi,2014,60033,Diesel,Automatic,First,18.18,2967,250,4.0,51,Porsche
2631,Maruti Vitara,Kochi,2018,51921,Diesel,Manual,First,24.3,1248,88.5,5.0,8,Maruti
